siff_sId,showName,country,holder,actor,showTime,cname,hname_cn
YC2162    ,重新开始,英国,约翰·卡尼,凯拉·奈特莉，海莉·斯坦菲儿德，马克·鲁弗洛,2014-06-16 10:30:00.000,上海影城,二厅
YC2156    ,唯爱永生,英国,吉姆·贾木许,蒂尔达·斯文顿，汤姆·希德勒斯顿,2014-06-15 20:45:00.000,上海影城,二厅
YC2155    ,逐梦师奶,德国,马克·伦辛,斯特芬·库纳特,2014-06-15 18:30:00.000,上海影城,二厅
YC2152    ,家路,,久保田直,松山研一，田中裕子，安藤樱,2014-06-15 10:30:00.000,上海影城,二厅
YC2194    ,小英格兰,希腊,潘多利·佛加瑞,Pinelopi Tsilika，Sofia Kokkali，Aneza Papadopoulou,2014-06-19 15:45:00.000,上海影城,二厅
YC2196    ,看不见的女人,英国,拉尔夫·费因斯,拉尔夫·费因斯，费莉西蒂·琼斯,2014-06-19 20:45:00.000,上海影城,二厅
YC2145    ,少年林肯,美国,A.J.霍华斯, 黛安·克鲁格 ，杰森·克拉科 ，布里特·马灵 ， 韦斯·本特利,2014-06-14 18:30:00.000,上海影城,二厅
YC2144    ,欲望号街车,美国,伊利亚·卡赞,马龙·白兰度，费雯·丽,2014-06-14 15:45:00.000,上海影城,二厅
YC2143    ,3D铁三角,法国,彼得·格林纳威，让·吕克·戈达尔，埃德加·佩拉,努诺·梅洛，米格尔·蒙泰罗， 安吉拉·马奎,2014-06-14 13:30:00.000,上海影城,二厅
YC2142    ,四十九天,日本,大林宣彦,品川彻， 松重丰，常盘贵子,2014-06-14 10:30:00.000,上海影城,二厅
YC2173    ,绿意依旧盎然,奥地利,马克·纳贝斯尼克,克里斯蒂安·霍德科，阿普·林登伯格，迈克尔·克里斯托夫,2014-06-17 13:30:00.000,上海影城,二厅
YC2185    ,白雪公主杀人事件 (HDCAM),日本,中村义洋,井上真央，绫野刚， 菜菜绪,2014-06-18 18:30:00.000,上海影城,二厅
YC2176    ,昆虫总动员3D,法国,托马斯·占波，海伦·格瑞德,,2014-06-17 20:45:00.000,上海影城,二厅
YC2164    ,窈窕舞妓,日本,周防 正行,上白石萌音，长谷川博己,2014-06-16 15:45:00.000,上海影城,二厅
YC2154    ,她爱他,法国,珍妮·亨利,桑德利那·吉贝尔兰，Laurent Lafitte,2014-06-15 15:45:00.000,上海影城,二厅
